Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
Q9CQM5	1	Txndc17	0.995	17.16587667285263	16.686399157745814	17.18102064071826	17.366303549774962	17.346390928984995	17.066943432774814	17.164471189850467	17.161597844092004	17.250072076983614	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQQ7	17	Atp5pb	0.9998	23.389405604633783	23.28208476474933	23.353060223874966	23.793689738833425	23.714924256735973	23.82071634210892	23.757577831395643	23.37588623690395	23.841642651692414	19.020401772746524	18.902897080483534	NA	NA	NA	NA	NA	NA
Q9CQS4	1	Slc25a46	0.9966	19.192832948938047	19.130233538411666	19.34888959838591	19.552301909942656	19.670084643664822	19.54089030654218	19.57079057068985	19.518760203336843	19.553644141162547	15.452196714271262	15.323164773380402	NA	NA	NA	NA	NA	NA
Q9CQS8	2	Sec61b	1.0	18.684681474900405	18.34621700296449	18.25650345928573	18.99645249756439	18.743964526157697	18.691063167520923	18.774633684084673	18.71734854506189	18.661300266825872	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQV8	13	Ywhab	1.0	21.978752481230185	21.735671243540754	21.893808214779042	22.276892516616662	22.260680250750507	22.332263063607723	22.399462126755854	22.18751751575495	22.40589142197529	17.71432628719831	17.40797701580509	NA	NA	NA	NA	NA	NA
Q9CQW1	1	Ykt6	1.0	18.25882555150755	17.497474917711266	18.089089056391842	18.52179296552905	18.481814318861318	18.479856793155093	18.245137395044107	18.351246668337375	18.156726706907467	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQW2	6	Arl8b	0.9999	21.52512298982151	21.389602741382323	21.58992367242923	22.01715190178253	21.934124281677235	21.806008609403513	21.714259140543014	21.57029762783082	21.848807842907256	17.168588332193863	17.62609844649489	NA	NA	NA	NA	NA	NA
Q9CQX2	4	Cyb5b	1.0	21.41262102393335	20.980884445354096	21.440426169079707	21.613035458732252	21.8073948636267	21.881163562497246	21.96637154240096	21.68283704258301	21.75936654116228	17.6179826105247	16.850239587081568	NA	NA	NA	NA	NA	NA
Q9CQX8	4	Mrps36	1.0	20.606866229013736	20.330423707273862	20.554507071235687	20.82757444292003	20.889129293651063	21.034200571526345	21.16338749567713	20.92715016570515	20.868187540184348	16.51195704720404	16.375098380606467	NA	NA	NA	NA	NA	NA
Q9CQZ1	2	Hsbp1	0.9993	17.27532885458951	16.914571132461052	17.32314395589167	17.73324889308957	17.63575191371478	17.639389969317328	17.666336269239146	17.467032304202608	17.50098925354286	13.0459302341128	13.496084260370973	NA	NA	NA	NA	NA	NA
Q9CQZ5	11	Ndufa6	1.0	21.82276085234948	21.878563954503747	21.96469572959103	22.325941116672592	22.18441407414501	22.219125679218788	22.043129080154028	22.070434917827853	22.088523858860416	17.499081157407495	17.146146115095902	NA	NA	NA	NA	NA	NA
Q9CQZ6	7	Ndufb3	0.9999	22.37474931216533	22.396030688342336	22.4905744542872	22.803670799517512	22.83192341708642	22.66756572500975	22.519426071372234	22.46417510897591	22.500100901691777	17.96445310328663	17.570731670839532	NA	NA	NA	NA	NA	NA
Q9CR16	4	Ppid	1.0	20.197010296656245	20.011890162370825	20.11179661754326	20.525603063761537	20.56183926237575	20.57419102384973	20.618795857089374	20.503552151255835	20.44467870415551	16.416695020249865	16.538382118145947	NA	NA	NA	NA	NA	NA
